Symbol,Kod kreskowy,Nazwa,Kontener,Regał,Półka
ZY15708A,5902689302176,Szopka bożonarodzeniowa,K41,,
ZY15679HF,5902689330742,Szopka bożonarodzeniowa - Święta Rodzina - 150 cm,K41,,
ZY17600,5902689329494,Szopka bożonarodzeniowa - aureola LED - 200 cm,K41,,
P109,5902689329210,Dzwonek - mosiądz,K12,R07,P02
P110,5902689329777,Dzwonek - mosiądz,K12,R07,P02
IB-20012,5902689336386,Kadzielnica - mosiądz,K12,R07,P02
BP-1003A,5902689336959,Taca - mosiądz,K12,R11,P02
HWF-1039,5902689336997,Dzbanek - taca - mosiądz,K12,R04,P03
HWF-1035N,5902689336614,Kociołek na wodę święconą - mosiądz - nikiel,K12,R04,P01
MN-1011,5902689358418,Relikwiarz - mosiądz,K12,R02,P02
P146,5902689332890,Dzwonek - mosiądz,K12,R09,P01
F-64,5902689335969,Sygnaturka - mosiądz,K12,R09,P03
A-585N,5902689332289,Dzwonki potrójne - mosiądz,K12,R05,P01
SP1003N,5902689364204,Kropidło - mosiądz - nikiel,K12,R08,P02
A565,5902689335990,Dzwonki poczwórne - mosiądz,K12,R07,P01
A566N,5902689358630,Dzwonki poczwórne - mosiądz niklowany,K12,R09,P02
A566,5902689332210,Dzwonki poczwórne - mosiądz,K12,R09,P01
A-561,5902689332173,Dzwonki poczwórne - mosiądz,K12,R03,P04
TG-1001,5902689336560,Szczypce do węgla - mosiądz,K12,R09,P02
CAS-1001N,5902689336652,Gasidełko - mosiądz,K12,R02,P02
IB-20006,5902689336720,Kadzielnica - mosiądz,K12,R05,P02
786919N,5902689330520,Dzwonki potrójne - mosiądz niklowany,K12,R06,P01
786917,5902689331817,Dzwonki potrójne - mosiądz,K12,R03,P02
786917N,5902689332159,Dzwonki potrójne - mosiądz niklowany,K12,R03,P01
M20000,5902689336379,Kadzielnica - mosiądz,K12,R06,P02
78615,5902689331718,Dzwonek - mosiądz,K12,R05,P02
78622,5902689330452,Dzwonki poczwórne - mosiądz,K12,R09,P02
78624,5902689331732,Dzwonki mosiężne,K12,R09,P02
78629,5902689331749,Dzwonki poczwórne - mosiądz,K12,R11,P01
78609,5902689331695,Dzwonki potrójne - mosiądz,K12,R07,P01
C-1008,5902689349591,Kielich - mosiądz,K12,R08,P03
N212-F,5902689335723,Naszyjnik - krzyżyk - Pietra,K12,R30,P04
HWF-1007,5902689353819,Dzbanek - taca - mosiądz,K12,R04,P03
ZE-22176,5902689365324,Dzbanek - taca,K12,R10,P02
MN-1016,5902689358449,Relikwiarz - mosiądz,K12,R04,P02
HWF-1036N,5902689336591,Kociołek na wodę święconą - mosiądz - nikiel,K12,R06,P01
MN-1021,5902689336522,Relikwiarz - krzyż - mosiądz,K12,R02,P02
SH-1001,5902689364112,Naczynie na wodę święconą,K12,R11,P01
P71,5902689333279,Lichtarz - mosiądz,K12,R11,P04
HMCREL013,5902689353185,Relikwiarz - krzyż - Tau - mosiądz,K12,R06,P02
M22190-3,5902689358029,Pojemniki na oleje święte - set,K12,R12,P02
C-1001,5902689349454,Kielich mosiężny pozłacany,K12,R08,P02
C-1002,5902689349461,Kielich mosiężny pozłacany,K12,R08,P02
SP1002N,5902689364181,Kropidło - mosiądz - nikiel - drewniana rączka,K12,R08,P02
SP1002AN,5902689364150,Kropidło - mosiądz,K12,R08,P02
SP1002,5902689364136,Kropidło - mosiądz - drewniana rączka,K12,R08,P02
DM-1002,5902689350788,Kielich mosiężny - pozłacany,K12,R08,P03
CF-1004,5902689336690,Krzyż ołtarzowy - mosiądz,K12,R01,P03
M22190-4,5902689358036,Pojemniki na oleje święte - set - pozłacany,K12,R09,P03
DM-1032-I,5902689350818,Pojemnik na olej chorych - INF,K12,R12,P02
DM-1032-C,5902689350801,Pojemnik na olej Krzyżma - CHR,K12,R12,P02
HWF-1009,5902689353833,Dzbanek - stal szlachetna,K12,R08,P03
786918N,5902689335983,Dzwonki poczwórne - mosiądz niklowany,K12,R05,P01
786919,5902689331831,Dzwonki potrójne - mosiądz,K12,R08,P01
